id_proposta;votos;tema;titulo;proposta;Tópico 1;Tópico 2;Tópico 3;Tópico 4;Tópico 5;topicos corretos?;;;;;;;;
11648;7;IX - Direito à Sustentabilidade e ao Meio Ambiente;Proposta para Valorização e Promoção de Produtos Rurais Locais;Esta proposta tem como objetivo valorizar, promover e impulsionar a visibilidade e a comercialização dos produtos rurais locais, beneficiando agricultores, comunidades rurais e consumidores interessados em produtos frescos e autênticos.;Produtos (34%);Condições rurais (28%);Jovens como consumidores (23%);Produtos originários (21%);Mapeamento de produtos (21%);;;;;;;;;
11649;12;IV - Direito à Diversidade e à Igualdade;Proposta para Agilizar o Acesso das Comunidades Quilombolas às Suas Terras Tradicionais;"Esta proposta visa acelerar o processo de reconhecimento e demarcação das terras de comunidades quilombolas, garantindo a preservação de suas identidades culturais e direitos territoriais.

1: Realizar um mapeamento detalhado das áreas reivindicadas pelas comunidades quilombolas, utilizando tecnologias de georreferenciamento para delimitar com precisão os territórios.

2: Implementar medidas legais e administrativas que simplifiquem e agilizem os procedimento para regularização";Comunidades quilombolas (36%);Quilombolas (27%);Demarcação de terras (24%);Comunidades (23%);Terra ocupada por comunidades quilombolas (21%);;;;;;;;;
11650;9;XI - Direito à Segurança Pública e ao Acesso à Justiça;Política Nacionais da Segurança Pública;Fortalecer as Política Nacionais da Segurança Pública, buscando uma garantia igualitária, buscando mais divulgação do estatuído do desarmamento, afim de evitar tragedias no território brasileiro;Desarmamento (26%);Política de segurança pública (26%);Segurança pública, política (25%);Política de segurança (22%);Segurança pública (21%);;;;;;;;;
11651;13;XI - Direito à Segurança Pública e ao Acesso à Justiça;Combate à violência contra jovens de baixa renda;Fortalecer os órgãos de investigação e combate à violência contra jovens, em especial abuso de autoridade, pedofilia e contra as mulheres (através do conselho da mulher e da delegacia especializada).;Violência contra a mulher (43%);Abuso de autoridade (36%);Violência contra os professores (34%);Violência contra crianças (33%);Violência contra professores (32%);;;;;;;;;
11652;14;VIII - Direito ao Desporto e ao Lazer;Direito ao Desporto e ao Lazer;Esta proposta tem como objetivo assegurar o acesso universal ao desporto e ao lazer, promovendo a saúde, a integração social, a qualidade de vida e a igualdade de oportunidades para todas as pessoas, independentemente de idade, gênero, habilidade ou origem.;Igualdade de gênero (32%);Igualdade de oportunidades (30%);Igualdade de oportunidades (educação) (28%);Desporto (27%);Habilidade (27%);;;;;;;;;
11654;10;II - Direito à Educação;Programa Juventude na Universidade;Programa de incentivo aos municípios para que possam manter curso pre-vestibular gratuito para jovens de baixa renda, considerando o acesso à educação como direito de todos.;Programa de curso (33%);Vestibular (32%);Programa gratuito (31%);Direito de acesso (29%);Baixa renda (29%);;;;;;;;;
11655;10;I - Direito à Cidadania, à Participação Social e Política e à Representação Juvenil;Fortalecendo a Voz da Juventude: Promovendo a participação social e política;"A juventude desempenha um papel fundamental na construção do futuro de uma nação. No entanto, muitas vezes enfrenta desafios ao tentar se envolver ativamente na sociedade e na política. Esta proposta busca desenvolver estratégias para fortalecer a participação social e política dos jovens, garantido representação eficaz de seus interesses e preocupações.
Identificar melhores práticas de envolvimento juvenil em níveis local, regional e nacional.";Representação de interesses (25%);Representação política (24%);Representação dos interesses (24%);Política regional (23%);Mulheres na política (22%);;;;;;;;;
11657;4;VIII - Direito ao Desporto e ao Lazer;Promovendo o Acesso e o Engajamento dos jovens no esporte e lazer;"O direito ao esporte e ao lazer é fundamental para o desenvolvimento saudável e integral da juventude. No entanto, muitos jovens enfrentam barreiras que limitam seu acesso a atividades esportivas e de lazer. Esta proposta busca garantir que todos os jovens tenham a oportunidade de desfrutar desses direitos, promovendo a inclusão e a participação ativa.
Desenvolver mais programas de esporte e lazer acessíveis e inclusivos para a juventude.";Direito ao lazer (42%);Lazer (40%);Área de lazer (33%);Espaço de lazer (31%);Equipamento de lazer (30%);;;;;;;;;
11658;8;II - Direito à Educação;Capacitando a Juventude para um Futuro Profissional Promissor.;O direito à profissionalização, ao trabalho e à renda é fundamental para a independência e o sucesso da juventude. No entanto, muitos jovens enfrentam desafios ao ingressar no mercado de trabalho e em suas trajetórias profissionais. Esta proposta tem como objetivo fornecer suporte e oportunidades que capacitem os jovens a desenvolverem suas habilidades, obterem emprego e alcançarem a estabilidade financeira.;Direito ao trabalho (27%);Estabilidade no emprego (25%);Estabilidade (direito do trabalho) (25%);Jovens (24%);Mercado de trabalho (22%);;;;;;;;;
11659;196;III - Direito à Profissionalização, ao Trabalho e à Renda;A Ciência, Tecnologia e Inovação como ferramenta de Ascenção da Juventude brasileira;A perspectiva na Juventude de um país , principalmente em um emergente como o nosso, é muito grande. Cabe ao poder público o investimento e a promoção da Ciência, Tecnologia e Inovação nas escolas e universidades para alinhar a perspectiva de crescimento com a realidade da nossa juventude. A CT&I é uma ferramenta essencial nesse processo, o acesso dos jovens ajudará a nos tirar da condição de emergente para a de país pleno em condições de igualdade com os ditos desenvolvidos.;Juventude (25%);Direitos da juventude (24%);Ditos (19%);Tecnologia de processo (19%);Juventude e consumo (17%);;;;;;;;;
11660;13;IV - Direito à Diversidade e à Igualdade;Garantia dos direito à diversidade e à igualdade;O direito à diversidade e à igualdade é fundamental para construir uma sociedade justa e inclusiva. Devemos promover leis e políticas que garantam a igualdade de oportunidades para todas as pessoas, independentemente de sua origem étnica, gênero, orientação sexual, religião ou qualquer outra característica pessoal. Isso não apenas fortalece os direitos humanos, mas também enriquece nossa sociedade ao celebrar as diferentes perspectivas e talentos que cada indivíduo traz. A promoção da diversidad;Igualdade de gênero (29%);Igualdade de oportunidades (28%);Direito à igualdade (26%);Igualdade de oportunidades (educação) (25%);Igualdade perante a sociedade (23%);;;;;;;;;
11661;14;XII - Sistema Nacional de Juventude - SINAJUVE;SNJ - financiamento específico por meio de parcerias público-privadas, fundos governamentais e doações.;Um fundo específico para a juventude também poderia ser estabelecido.Esta é apenas uma visão geral de uma proposta para um Sistema Nacional da Juventude. Para desenvolvê-la e implementá-la efetivamente, planejamento detalhado, envolvimento da sociedade civil e a aprovação do governo e do legislativo.;Juventude (31%);Direitos da juventude (27%);Juventude e consumo (22%);Visão geral do objeto (21%);Etnologia, Ilha da Juventude (20%);;;;;;;;;
11662;10;II - Direito à Educação;Educação igualitária em todos os níveis;Garantir acesso igualitário à educação de qualidade significa investir em escolas públicas bem equipadas, com estrutura adequada e professores bem treinados. Além disso, é essencial promover a diversidade e a inclusão nas escolas, reconhecendo e valorizando a cultura afro-brasileira no currículo. Criando um único currículo para todos os níveis sociais.;Currículo (36%);Currículo mínimo (28%);Curso e currículo (28%);Cultura afro-brasileira (27%);Níveis de acesso (20%);;;;;;;;;
11663;16;VII - Direito à Comunicação e à Liberdade de Expressão;Acesso ao uso de tecnologia  e redes de internet;Proporcionar o acesso aos sistemas de informação e internet em todos os locais de forma a conectar o jovem e as diversas comunidades entre si, promovendo com isso a real globalização.;Globalização da informação (36%);Globalização (32%);Sistemas de informação (31%);Internet, acesso (27%);Acesso à Internet (27%);;;;;;;;;
11664;8;II - Direito à Educação;Incentivo ´´à leitura de literaturas brasileiras;Promover a leitura nas comunidades por meio da criação de bibliotecas comunitárias bem abastecidas e incentivos à leitura, como clubes do livro e eventos literários. Foco em literaturas brasileiras, desde o pequeno escritor até os novos escritores. Dessa forma haverá o incentivo à leitura e ao trabalho de novos escritores brasileiros, assim como o conhecimento nacional de suas obras.;Leitura (44%);Promoção do livro e da leitura (37%);Promoção da leitura (35%);Livros e leitura (31%);Leitura e livros (31%);;;;;;;;;
11665;8;III - Direito à Profissionalização, ao Trabalho e à Renda;Empreendedorismo da Juventude Brasileira;Fomentar o empreendedorismo entre a juventude negra por meio de subsídios, treinamento, acesso a crédito e assistência técnica para ajudar a criar e manter pequenos negócios. Organizando meios de divulgação e locais para expansão dos negócios.;Negócios (42%);Informação para negócios (38%);Gestão de negócios (35%);Negócios e política (35%);Política e negócios (35%);;;;;;;;;
11666;12;II - Direito à Educação;Programa Nacional de Cursinho Pré-Universitário Gratuito para Todos;Visa oferecer educação pré-universitária gratuita e de qualidade em todo o país, assegurando acesso igualitário a estudantes de todas as regiões e origens socioeconômicas. O projeto inclui a expansão da infraestrutura educacional, material didático gratuito, equipe de professores qualificados, apoio psicopedagógico, inclusão digital, transporte e alimentação subsidiados, avaliação e monitoramento, parcerias com instituições de ensino superior, transparência, campanhas de conscientização, etc.;Material didático (23%);Equipe de apoio (23%);Infraestrutura de transporte (22%);Instituições de ensino (21%);Educação de qualidade (20%);;;;;;;;;
11667;7;II - Direito à Educação;Intercâmbio Científico Nacional da Juventude Brasileira;Tem como objetivo principal unir jovens de todo o Brasil em um intercâmbio científico. A ideia é que eles compartilhem conhecimentos, aprimorem seus projetos e trabalhem juntos para encontrar soluções para problemas do país. Tudo isso será financiado por meio de parcerias com instituições de pesquisa, governo, empresas e organizações sem fins lucrativos. Fortalecer a pesquisa e inovação, criar uma rede de jovens cientistas e inspirar as gerações futuras a se envolver cientificamente.;Pesquisa (22%);Pesquisa, desenvolvimento e inovação (21%);Sociedade sem fins lucrativos (21%);Jovens (21%);Intercâmbio científico (21%);;;;;;;;;
11668;35;I - Direito à Cidadania, à Participação Social e Política e à Representação Juvenil;Obrigar a Disseminação do Conteúdo do Estatuto da Juventude.;A Lei Nº 18.373/2017 de minha autoria, dispõe sobre a disseminação do conteúdo do estatuto da juventude na cidade do Recife acredito que expandido para todo país, vamos ampliar o conhecimento da juventude brasileira sobre seus direito, promovendo atividades nas escolas e disponibilizando exemplares para serem entregues em todos os eventos voltados para juventude.;Juventude (40%);Direitos da juventude (34%);Juventude e consumo (28%);Disseminação do conhecimento (25%);Etnologia, Ilha da Juventude (25%);;;;;;;;;
11669;8;I - Direito à Cidadania, à Participação Social e Política e à Representação Juvenil;Participação Ativa Jovem;"Visa empoderar jovens e adolescentes no cenário político brasileiro. Inclui educação cívica nas escolas, a criação de conselhos de participação jovem, campanhas de conscientização, programas de estágio político e acesso facilitado às informações governamentais. Promove o orçamento participativo jovem e debates regulares sobre temas relevantes.
Com financiamento público, essa política pretende fortalecer a voz dos jovens na política, incentivando seu envolvimento ativo na tomada de decisões.";Jovem (26%);Político (25%);Sistema político (política e governo) (24%);Sistema político (governo e política) (24%);Política de educação (24%);;;;;;;;;
11670;13;V - Direito à Saúde;Programa Saúde Mental Jovem;"A proposta do ""Programa Saúde Mental Jovem"" é simples, mas essencial: cuidar da saúde mental dos jovens brasileiros. Oferecerá acesso fácil a apoio psicológico, promoverá campanhas de conscientização, implementará programas de prevenção e disponibilizará uma linha de apoio 24 horas.
O impacto esperado é significativo: reduzir os problemas de saúde mental entre os jovens e criar uma cultura mais aberta e compreensiva sobre o assunto em todo o Brasil, garantindo que tenham o suporte necessário.";Saúde mental (42%);Direito à saúde mental (37%);Promoção da saúde mental (33%);Dano à saúde mental (30%);Trabalho mental (28%);;;;;;;;;
11671;11;III - Direito à Profissionalização, ao Trabalho e à Renda;SchoolTech - Tecnologia e Inovação para a Juventude;"SchoolTech é a criação de um sistema de ensino para formação profissional e recreativa da nossa juventude, financiada pelo governo federal para garantir a juventude acesso a tecnologia tanto nas escolas, como fora delas, abrigando hoje as grandes áreas da tecnologia:
Programação Full Stack, Data Science, Big Data, Defesa Cibernética, Robótica dentre outros.
É importante destacar que o mundo cada vez mais conectado, é necessário que os jovens estejam mais inseridos na nova realidade.";Data science (31%);Big data (31%);Juventude (24%);Data-base (22%);Data base (22%);;;;;;;;;
11672;13;I - Direito à Cidadania, à Participação Social e Política e à Representação Juvenil;Fortalecimento da Identidade Cultural Afro-brasileira;A proposta busca inserir a cultura afro-brasileira no ensino, com programas culturais, palestras, e eventos escolares. Além disso, sugere a criação de museus e espaços culturais dedicados a essa rica herança. O objetivo principal é fortalecer a identidade afro-brasileira, combater o racismo e promover uma sociedade mais justa e inclusiva, onde todas as culturas sejam valorizadas e respeitadas.;Cultura afro-brasileira (42%);Religião afro-brasileira (34%);Direitos culturais (21%);Culto afro-brasileiro (20%);Condições culturais (20%);;;;;;;;;
11673;24;I - Direito à Cidadania, à Participação Social e Política e à Representação Juvenil;Implementação políticas para pesquisadores jovens.;"Implementar política permanente de valorização da juventude pesquisadora, acompanhada de profundos debates sobre direitos trabalhistas e previdenciário;";Direitos trabalhistas (33%);Direitos da juventude (32%);Direito previdenciário (27%);Processo previdenciário (25%);Crime previdenciário (25%);;;;;;;;;
11674;8;II - Direito à Educação;Desenvolvimento de uma plataforma de ensino virtual acessível a todos.;Essa plataforma ofereceria aulas interativas, materiais didáticos inclusivos e suporte personalizado para alunos com diferentes necessidades. Também poderia usar inteligência artificial para adaptar o conteúdo de acordo com o nível de aprendizado de cada estudante, garantindo que ninguém seja deixado para trás. Além disso, poderia oferecer opções de aprendizado offline para áreas com acesso limitado à internet.;Aprendizado de máquina (21%);Inteligência artificial (20%);Psicologia do aprendizado (20%);Aprendizado a distância (20%);Transtorno específico de aprendizado (19%);;;;;;;;;
11675;13;I - Direito à Cidadania, à Participação Social e Política e à Representação Juvenil;`Politicas públicas de valorização ao jovem do campo;"Criação de uma política pública de fomento específica para a juventude da agricultura familiar, camponesa, assalariada rural, para os povos e comunidades tradicionais (os reconhecidos e os que lutam pelo reconhecimento), que respeite os seguintes princípios:
(a) priorização, associativismo e cooperativismo;
(b) valorização de práticas agroecológicas alternativas;
(c) priorização da participação dos jovens dos movimentos sociais e do campo na elaboração e monitoramento das politicas públicas.";Povos e comunidades tradicionais (22%);Associativismo (19%);Movimentos sociais (18%);Cooperativismo (17%);Agricultura familiar (17%);;;;;;;;;
11676;6;III - Direito à Profissionalização, ao Trabalho e à Renda;Novas Oportunidades de ressocialização no mercado de trabalho;Garantir de forma obrigatória a criação de cotas/vagas para jovens, em processo de ressocialização, egressos do sistema prisional e medidas socioeducativas nas empresas/instituições públicas e privadas. Gerando assim um novas oportunidades dentro do mercado de trabalho.;Sistema de cotas (30%);Sistema prisional (28%);Trabalho prisional (27%);Mercado de trabalho (26%);Mercado do trabalho (26%);;;;;;;;;
11677;8;IV - Direito à Diversidade e à Igualdade;Inclusão e Diversidade;Inclusão da LIBRAS e do braille como componente curricular obrigatório, do ensino fundamental, médio e superior, com formação continuada e disponibilização de recursos didáticos imprescindíveis para a realização qualificada dos trabalhos.;Componente curricular (34%);Recursos didáticos (30%);Formação continuada (28%);Braille (27%);Ensino obrigatório (26%);;;;;;;;;
11678;8;VIII - Direito ao Desporto e ao Lazer;Esporte e Lazer;Construir, reformar e manter equipamentos e espaços públicos para a prática de esportes, além de ocupar e divulgar esses espaços de esporte e lazer (quadras poliesportivas, academias públicas, aparelhos de ginástica,  pistas para caminhada, campos sintéticos e outros) garantindo a acessibilidade adequada às pessoas com deficiência, com prioridade nas áreas de maior vulnerabilidade social, em todos os municípios Brasileiro.;Acessibilidade para pessoas com deficiência (27%);Ginástica (19%);Vulnerabilidade social (17%);Projeto de acessibilidade (17%);Direito de construir (17%);;;;;;;;;
11679;18;III - Direito à Profissionalização, ao Trabalho e à Renda;"""Construindo o Amanhã: Fundos de Juventude como Política Pública de Empoderamento e Desenvolvimento""";Criação dos Fundos de Juventude em Níveis Municipal, Estadual e Nacional para Investimento em Projetos e Programas de Desenvolvimento Juvenil. A juventude é uma fase crucial da vida, repleta de potencial e energia para impulsionar o desenvolvimento social, econômico e cultural de uma nação. Reconhecendo a importância desse grupo demográfico, propomos a criação dos Fundos de Juventude em níveis municipal, estadual e nacional como uma política pública estratégica para promover mudanças de rumo.;Juventude (35%);Fundos de saúde (28%);Direitos da juventude (28%);Fundos (28%);Fundos de investimentos (25%);;;;;;;;;
11680;31;VIII - Direito ao Desporto e ao Lazer;Disseminação do esporte e lazer para juventude nas comunidades;A proposta segue um rumo bem simples: abrir e construir mais espaços de lazer e prática de esportes para juventude nas comunidades, a fim de que todos tenham o direito de praticar esportes o qual tenham apreço ou até mesmo pelo bem estar e pela saúde do corpo!;Esportes (35%);Direito dos esportes (32%);Bem-estar (28%);Programas de bem-estar (27%);Quadra de esportes (25%);;;;;;;;;
11681;168;VI - Direito à Cultura;Acesso à Cultura;Incluir o ensino de música no currículo obrigatório nas escolas.;Ensino obrigatório (50%);Currículo (45%);Música (42%);Currículo mínimo (36%);Curso e currículo (35%);;;;;;;;;
11683;7;X - Direito ao Território e à Mobilidade;Passe Live Irrestrito;Implantação de passe livre irrestrito para a juventude, municipal, intermunicipal e intermodal com garantia de livre circulação.;Livre circulação da informação (46%);Programa livre (39%);Acesso livre (39%);Economia livre (37%);Livre circulação das correspondências (37%);;;;;;;;;
11684;9;X - Direito ao Território e à Mobilidade;Ônibus Elétrico nas Periferias;Circulação de ônibus elétrico com ampliação da rota nas periferias e com ampliação do itinerário.;Ônibus elétrico (43%);Circulação (31%);Ampliação da jornada escolar (29%);Acidente no itinerário (29%);Direito de circulação (29%);;;;;;;;;
11685;6;X - Direito ao Território e à Mobilidade;Melhoria da Infraestrutura;Melhoria da infraestrutura da cidade com pontos de ônibus adequados, semáforos sonoros, calçadas acessíveis e acesso à água e energia elétrica.;Energia elétrica (32%);Serviço de energia elétrica (28%);Produção de energia elétrica (28%);Rede de energia elétrica (28%);Indústria de energia elétrica (28%);;;;;;;;;
11686;16;I - Direito à Cidadania, à Participação Social e Política e à Representação Juvenil;Promover a Disseminação do Conteúdo do Estatuto da Juventude.;A Lei Nº 18.373/2017 de minha autoria, dispõe sobre a disseminação do conteúdo do Estatuto da Juventude na cidade do Recife. Acredito que expandido para todo país, vamos ampliar o conhecimento da juventude brasileira sobre seus direitos, promovendo atividades nas escolas e disponibilizando exemplares do Estatuto da Juventude para as diversas ações nos estados e municípios.;Direitos da juventude (41%);Juventude (39%);Juventude e consumo (28%);Estatuto social (26%);Disseminação do conhecimento (26%);;;;;;;;;
11687;6;IX - Direito à Sustentabilidade e ao Meio Ambiente;Reintegração de território ambiental e de patrimônio histórico;Reintegração de território ambiental e de patrimônio histórico com atividades para ocupação de espaços de interesse à juventude.;Patrimônio histórico (43%);Ocupação (34%);Patrimônio histórico e artístico (33%);Ação de reintegração de posse (33%);Reintegração de posse (32%);;;;;;;;;
11688;10;IV - Direito à Diversidade e à Igualdade;Psicólogos e Assistentes Sociais nas Escolas;Fortalecimento da lei dos psicólogos e assistentes sociais nas escolas.;Assistentes de biblioteca (36%);Lei (30%);Assédio nas escolas (26%);Bullying nas escolas (25%);Contribuição de fortalecimento (25%);;;;;;;;;
11689;8;IV - Direito à Diversidade e à Igualdade;Cultura Negra nas Escolas;Cumprimento da Lei 10.639/03 com a presença da cultura e identidade negra no espaço da educação.;Identidade negra (42%);Cultura negra (38%);Eficácia da lei no espaço (35%);Estratégia da presença (31%);Estrito cumprimento da lei (30%);;;;;;;;;
11690;8;IV - Direito à Diversidade e à Igualdade;Núcleo de Combate à Intolerância Religiosa;Criação de um núcleo de combate à intolerância religiosa.;Intolerância religiosa (66%);Intolerância (50%);Educação religiosa (37%);Vida religiosa (36%);Sociedade religiosa (36%);;;;;;;;;
11691;6;I - Direito à Cidadania, à Participação Social e Política e à Representação Juvenil;Iluminação Pública;Ampliação da iluminação pública nos municípios.;Iluminação pública (70%);Iluminação (61%);Serviço de iluminação pública (60%);Iluminação elétrica (47%);Ampliação da jornada escolar (29%);;;;;;;;;
11692;7;V - Direito à Saúde;Atendimento médico para a juventude atingida pela poluição;Garantir atendimento médico expandido para a juventude atingida pela poluição e oferta de medicamentos específicos para tratamento de doenças ocasionadas pela poluição.;Poluição (45%);Poluição, controle (35%);Poluição ambiental (35%);Combate a poluição (34%);Poluição industrial (34%);;;;;;;;;
11693;7;I - Direito à Cidadania, à Participação Social e Política e à Representação Juvenil;Centros descentralizados para a juventude;Criação de centros descentralizados da Coordenadoria da Juventude nos territórios a partir do critério de vulnerabilidade social e econômica.;Vulnerabilidade social (32%);Critério de fiscalização (28%);Direitos da juventude (28%);Critério de auditoria (27%);Vulnerabilidade (27%);;;;;;;;;
11694;6;V - Direito à Saúde;Contratação de psicólogos e psiquiatras;Garantia de contratação de profissionais psicólogos e psiquiatras, pela Secretaria de Saúde, para compor as equipes dos CAPSI e NASF que atendam ao público adolescente e jovem.;Profissionais de saúde (26%);Secretaria de governo (25%);Adolescente (24%);Secretaria de Estado (24%);Jovem (22%);;;;;;;;;
11695;9;VIII - Direito ao Desporto e ao Lazer;Criação de espaços de esporte e lazer nas comunidades;Criação de espaços de esporte e lazer em bairros de periferia e baixa renda, com inclusão de instrutores capacitados nas áreas de esporte (skate, basquete, futebol, vôlei, etc) assim como espaços aptos para tais atividades.;Esporte de participação (30%);Esporte de combate (29%);Agente de esporte (28%);Esporte de rendimento (26%);Esporte escolar (25%);;;;;;;;;
11696;22;VIII - Direito ao Desporto e ao Lazer;Democratizar os Espaços de Esporte e Lazer;O Governo Federal, por meio do Ministério do Esporte em conjunto com a Secretaria Nacional de Juventude, pode lançar um programa para democratizar os espaços de Esporte e Lazer, sejam eles público ou privado, apoiando projetos já existentes ou criando incentivos à prática de exercícios físicos através do futebol ou demais modalidades.;Gestão do Esporte (28%);Medicina do esporte (26%);Esporte de participação (25%);Esporte de combate (24%);Gestor do esporte (24%);;;;;;;;;
11697;16;II - Direito à Educação;"Programa ""Pré-vestibular Social para a Juventude""";"O programa ""Pré-Vestibular Social para a Juventude"" tem como objetivo principal proporcionar acesso à educação de qualidade e preparação para o ingresso nas universidades, visando reduzir as desigualdades educacionais e promover a inclusão social dos jovens em situação de vulnerabilidade. Essa proposta visa aprimorar a oportunidade dos jovens, atendendo um ponto importante do Estatuto da Juventude, a educação.";Juventude (30%);Estatuto social (26%);Serviço social junto à juventude (25%);Jovens (25%);Direitos da juventude (25%);;;;;;;;;
11698;25;I - Direito à Cidadania, à Participação Social e Política e à Representação Juvenil;Criação do Fundo para Juventude e destinação de doações do imposto de renda para programas e projetos sociais;"Projeto de Lei instituindo o Fundo Nacional da Juventude e autorizando deduzir do imposto de renda devido pelas pessoas físicas e jurídicas as doações efetuadas aos Fundos Municipais, Estaduais e Nacional da Juventude para Projetos Sociais com Jove

O inciso I do caput do art. 12 da Lei no 9.250/95, passa a vigorar com a seguinte redação: 

“Art. 12.
I - (...) e as contribuições feitas aos Fundos controlados pelos Conselhos Municipais, Estaduais e Nacional de Juventude.";Juventude (32%);Direitos da juventude (28%);Fundos (25%);Fundos de saúde (24%);Juventude e consumo (23%);;;;;;;;;
